Song_Name,Key,Capo,Chord,Frequency_map_of_each_chord,BPM
Supermarket Flowers Chords,C,6th fret,"['C', 'Dm', 'Em', 'F', 'Am', 'G', 'Dm7', 'Fadd9']","{'C': 38, 'Dm': 5, 'Em': 20, 'F': 36, 'Am': 11, 'G': 25, 'Dm7': 3, 'Fadd9': 2}",90 bpm
Tenerife Sea Chords,Gb,4th fret,"['E', 'F#m', 'A', 'B', 'C#m']","{'E': 38, 'F#m': 28, 'A': 43, 'B': 16, 'C#m': 7}",120 bpm
I Dont Wanna Live Forever Chords,Key Not Find,3rd fret,"['C', 'G', 'D', 'Em7']","{'C': 32, 'G': 27, 'D': 28, 'Em7': 28}",NF
Little Things Chords,G,no capo,"['G', 'C', 'Em', 'D', 'Am']","{'G': 18, 'C': 30, 'Em': 15, 'D': 22, 'Am': 12}",110 bpm
Sucker Chords,C#m,no capo,"['C#m', 'E', 'B', 'G#', 'F#m', 'A']","{'C#m': 38, 'E': 37, 'B': 43, 'G#': 19, 'F#m': 12, 'A': 12}",138 bpm
Alarm Chords,Key Not Find,no capo,"['Am', 'C', 'G', 'F', 'Em']","{'Am': 25, 'C': 23, 'G': 25, 'F': 22, 'Em': 2}",NF
Cherry Chords,G,7th fret,"['C', 'Cadd9', 'C/B', 'Am7', 'A7sus4', 'Fadd9', 'Fmaj7', 'G', 'F', 'Em', 'Dm', 'A', 'Am']","{'C': 14, 'Cadd9': 2, 'C/B': 9, 'Am7': 10, 'A7sus4': 1, 'Fadd9': 1, 'Fmaj7': 9, 'G': 6, 'F': 1, 'Em': 1, 'Dm': 1, 'A': 5, 'Am': 3}",96 bpm
Personal Acoustic Chords,Key Not Find,5th fret,"['G', 'F', 'Am', 'Em', 'C', 'Dm']","{'G': 21, 'F': 17, 'Am': 18, 'Em': 4, 'C': 15, 'Dm': 2}",NF
Barcelona Chords,Key Not Find,1st fret,"['C', 'Am', 'G', 'F']","{'C': 34, 'Am': 34, 'G': 37, 'F': 37}",NF
Chhichhore - Khairiyat Chords,Key Not Find,3rd fret,"['Am', 'F', 'D', 'G', 'E', 'Dm', 'E7', 'Em', 'C']","{'Am': 22, 'F': 27, 'D': 3, 'G': 19, 'E': 8, 'Dm': 13, 'E7': 7, 'Em': 15, 'C': 7}",NF
Give Me Time Chords,Key Not Find,no capo,"['Em', 'A', 'D', 'G6', 'G', 'Bm']","{'Em': 16, 'A': 18, 'D': 10, 'G6': 7, 'G': 2, 'Bm': 4}",79 bpm
Comethru Chords,C,no capo,"['Cmaj7', 'Am7', 'F', 'G', 'Am7/G', 'Fmaj7', 'G/B']","{'Cmaj7': 16, 'Am7': 18, 'F': 14, 'G': 16, 'Am7/G': 5, 'Fmaj7': 4, 'G/B': 1}",94 bpm
What Makes You Beautiful Chords,E,no capo,"['E', 'A', 'B']","{'E': 47, 'A': 47, 'B': 47}",NF
Alarm Chords,Key Not Find,no capo,"['Am', 'C', 'G', 'F', 'Em']","{'Am': 25, 'C': 23, 'G': 25, 'F': 22, 'Em': 2}",NF
Cherry Chords,G,7th fret,"['C', 'Cadd9', 'C/B', 'Am7', 'A7sus4', 'Fadd9', 'Fmaj7', 'G', 'F', 'Em', 'Dm', 'A', 'Am']","{'C': 14, 'Cadd9': 2, 'C/B': 9, 'Am7': 10, 'A7sus4': 1, 'Fadd9': 1, 'Fmaj7': 9, 'G': 6, 'F': 1, 'Em': 1, 'Dm': 1, 'A': 5, 'Am': 3}",96 bpm
One Call Away Chords,Db,1st fret,"['C', 'G', 'Am7', 'F', 'F/G', 'Am', 'E7']","{'C': 28, 'G': 28, 'Am7': 10, 'F': 25, 'F/G': 6, 'Am': 11, 'E7': 1}",91 bpm
Can We Dance Chords,Key Not Find,4th fret,"['F', 'G', 'Em', 'Am', 'C']","{'F': 30, 'G': 30, 'Em': 25, 'Am': 25, 'C': 5}",NF
Firefly Chords,Key Not Find,no capo,"['E', 'A', 'C#m', 'B']","{'E': 30, 'A': 27, 'C#m': 27, 'B': 31}",NF
Save Myself Chords,Key Not Find,3rd fret,"['G', 'D', 'Em', 'C', 'B7', 'Am/E', 'G/B', 'D/F#']","{'G': 29, 'D': 31, 'Em': 18, 'C': 34, 'B7': 3, 'Am/E': 16, 'G/B': 6, 'D/F#': 6}",NF
Co2 Chords,Key Not Find,1st fret,"['Am', 'F', 'C', 'Dm', 'Em', 'G']","{'Am': 4, 'F': 34, 'C': 37, 'Dm': 11, 'Em': 2, 'G': 9}",81 bpm
Ae Dil Hai Mushkil - Channa Mereya Chords,Key Not Find,no capo,"['Am', 'Fmaj7', 'Dm7', 'C', 'G']","{'Am': 19, 'Fmaj7': 16, 'Dm7': 16, 'C': 16, 'G': 16}",90 bpm
Chhichhore - Khairiyat Chords,Key Not Find,3rd fret,"['Am', 'F', 'D', 'G', 'E', 'Dm', 'E7', 'Em', 'C']","{'Am': 22, 'F': 27, 'D': 3, 'G': 19, 'E': 8, 'Dm': 13, 'E7': 7, 'Em': 15, 'C': 7}",NF
The Water Fountain Chords,Db,1st fret,"['C', 'Am', 'G', 'D', 'Em']","{'C': 14, 'Am': 14, 'G': 12, 'D': 14, 'Em': 2}",67 bpm
Havana Chords,Gm,3rd fret,"['Em', 'C', 'B7']","{'Em': 48, 'C': 44, 'B7': 46}",105 bpm
Adore You Chords,Cm,3rd fret,"['Am7', 'C', 'Fmaj7', 'G']","{'Am7': 22, 'C': 22, 'Fmaj7': 22, 'G': 20}",99 bpm
Galway Girl Chords,F#m,2nd fret,"['Em', 'G', 'D', 'Cadd9', 'C', 'Am7']","{'Em': 26, 'G': 36, 'D': 34, 'Cadd9': 16, 'C': 14, 'Am7': 2}",100 bpm
Falling Chords,E,no capo,"['E', 'C#m', 'B', 'A', 'G#m']","{'E': 13, 'C#m': 13, 'B': 12, 'A': 13, 'G#m': 11}",110 bpm
10000 Hours Chords,Bb,3rd fret,"['G', 'Bm', 'G/B', 'Em', 'C']","{'G': 59, 'Bm': 3, 'G/B': 6, 'Em': 24, 'C': 34}",90 bpm
Perfect Chords,Ab,1st fret,"['G', 'Em', 'C', 'D', 'D/F#', 'G/B', 'Dsus4']","{'G': 30, 'Em': 23, 'C': 24, 'D': 26, 'D/F#': 2, 'G/B': 1, 'Dsus4': 1}",64 bpm
Shivers Chords,Bm,2nd fret,"['F', 'Am', 'C', 'G']","{'F': 16, 'Am': 15, 'C': 15, 'G': 16}",141 bpm
Kho Gaye Hum Kaha Chords,C#,1st fret,"['C', 'F', 'G', 'E7']","{'C': 26, 'F': 26, 'G': 20, 'E7': 4}",100 bpm
Drivers License Chords,Bb,3rd fret,"['G', 'Em', 'C', 'D', 'Bm7', 'C6', 'D/F#', 'Em7']","{'G': 22, 'Em': 10, 'C': 17, 'D': 12, 'Bm7': 3, 'C6': 3, 'D/F#': 1, 'Em7': 1}",72 bpm
Traitor Chords,Eb,3rd fret,"['C', 'G', 'Am', 'Fmaj7', 'Fm', 'Bdim', 'Em']","{'C': 24, 'G': 2, 'Am': 24, 'Fmaj7': 21, 'Fm': 2, 'Bdim': 1, 'Em': 21}",80 bpm
Good 4 U Chords,F#m,no capo,"['F#m', 'E', 'D', 'C#7', 'A', 'B']","{'F#m': 42, 'E': 56, 'D': 18, 'C#7': 4, 'A': 14, 'B': 15}",83 bpm
Happier Chords,F#,6th fret,"['C', 'Am', 'Dm', 'G7']","{'C': 9, 'Am': 9, 'Dm': 17, 'G7': 12}",57 bpm
Enough For You Chords,G,no capo,"['G', 'Em', 'C']","{'G': 48, 'Em': 34, 'C': 34}",88 bpm
Bad Liar Chords,Eb,1st fret,"['D', 'Bm', 'G', 'A', 'A/C#', 'F#m', 'Dsus2']","{'D': 28, 'Bm': 21, 'G': 18, 'A': 7, 'A/C#': 7, 'F#m': 1, 'Dsus2': 1}",89 bpm
Believer Chords,Bbm,1st fret,"['Am', 'F', 'E', 'E/G#', 'G', 'E7', 'E7/G#']","{'Am': 24, 'F': 25, 'E': 18, 'E/G#': 3, 'G': 1, 'E7': 3, 'E7/G#': 1}",63 bpm
Demons Chords,D,1st fret,"['D', 'A', 'Bm', 'G']","{'D': 20, 'A': 16, 'Bm': 16, 'G': 15}",90 bpm
Whatever It Takes Chords,Bbm,1st fret,"['Am', 'G', 'Em', 'D', 'F', 'C']","{'Am': 24, 'G': 27, 'Em': 15, 'D': 4, 'F': 12, 'C': 12}",68 bpm
Theres Nothing Holdin Me Back Chords,D,no capo,"['G', 'D', 'A', 'Bm']","{'G': 25, 'D': 90, 'A': 50, 'Bm': 26}",123 bpm
Stitches Chords,Bbm,1st fret,"['Am', 'G', 'C', 'F']","{'Am': 30, 'G': 32, 'C': 26, 'F': 29}",150 bpm
Lost In Japan Chords,Bb,3rd fret,"['Gmaj7', 'G', 'Am7', 'Am', 'Bm/E', 'Em', 'C', 'C/B']","{'Gmaj7': 3, 'G': 21, 'Am7': 17, 'Am': 20, 'Bm/E': 3, 'Em': 20, 'C': 20, 'C/B': 13}",105 bpm
Summer Of Love Chords,Key Not Find,4th fret,"['G', 'Em', 'Bm', 'D']","{'G': 23, 'Em': 23, 'Bm': 23, 'D': 21}",NF
Photograph Chords,E,2nd fret,"['D', 'Bm', 'A', 'G']","{'D': 17, 'Bm': 16, 'A': 16, 'G': 17}",108 bpm
South Of The Border Chords,Dm,no capo,"['Dm', 'F', 'Bb', 'Am7', 'C']","{'Dm': 36, 'F': 36, 'Bb': 36, 'Am7': 32, 'C': 4}",NF
Thinking Out Loud Chords,D,2nd fret,"['C', 'C/E', 'F', 'G', 'Dm', 'Am']","{'C': 39, 'C/E': 37, 'F': 37, 'G': 50, 'Dm': 13, 'Am': 7}",75 bpm
Come Over Chords,Key Not Find,no capo,"['Ab', 'Cm', 'Eb', 'C', 'Fm', 'Bb']","{'Ab': 22, 'Cm': 23, 'Eb': 21, 'C': 3, 'Fm': 5, 'Bb': 1}",NF
Treat You Better Chords,Bbm,1st fret,"['Am', 'G', 'F', 'C']","{'Am': 30, 'G': 30, 'F': 30, 'C': 19}",83 bpm
Payphone Chords,C,no capo,"['F', 'C', 'Am', 'G']","{'F': 18, 'C': 18, 'Am': 18, 'G': 18}",NF
As It Was Chords,A,2nd fret,"['Am', 'D', 'G', 'C']","{'Am': 14, 'D': 14, 'G': 14, 'C': 12}",174 bpm
Watermelon Sugar Chords,C,no capo,"['Dm7', 'Am7', 'C', 'G']","{'Dm7': 17, 'Am7': 17, 'C': 16, 'G': 14}",95 bpm
Tune Kaha Chords,Key Not Find,1st fret,"['Bm', 'G', 'A', 'D', 'F#', 'F#7']","{'Bm': 19, 'G': 26, 'A': 32, 'D': 37, 'F#': 4, 'F#7': 1}",NF
2002 Chords,E,2nd fret,"['D', 'A', 'Bm', 'F#m', 'G']","{'D': 27, 'A': 30, 'Bm': 24, 'F#m': 3, 'G': 28}",NF
Tum Jab Paas Chords,F#,2nd fret,"['E', 'A', 'B']","{'E': 45, 'A': 33, 'B': 36}",82 bpm
Gul Chords,C,6th fret,"['Am', 'Em', 'F', 'G', 'C']","{'Am': 26, 'Em': 25, 'F': 30, 'G': 29, 'C': 5}",87 bpm
Ciao Adios Chords,Key Not Find,no capo,"['Em', 'G', 'D', 'C']","{'Em': 43, 'G': 43, 'D': 43, 'C': 43}",106 bpm
Baarishein Chords,Key Not Find,no capo,"['D', 'Bm', 'G', 'A']","{'D': 30, 'Bm': 15, 'G': 15, 'A': 16}",72 bpm
Dil Mere Chords,Ab,1st fret,"['G', 'D', 'Em', 'C']","{'G': 40, 'D': 66, 'Em': 18, 'C': 29}",93 bpm
Aaftaab Chords,Key Not Find,no capo,"['F#', 'C#', 'D#m', 'B', 'G#m']","{'F#': 26, 'C#': 53, 'D#m': 21, 'B': 19, 'G#m': 6}",NF
Tere Hi Hum Chords,C,no capo,"['C', 'Fsus2', 'Am7', 'G', 'C7', 'F']","{'C': 35, 'Fsus2': 2, 'Am7': 33, 'G': 22, 'C7': 1, 'F': 34}",116 bpm
Choo Lo Chords,E,no capo,"['E', 'B', 'A', 'C#m']","{'E': 12, 'B': 53, 'A': 27, 'C#m': 14}",NF
Zakir Chords,Key Not Find,no capo,"['G', 'D', 'C']","{'G': 26, 'D': 16, 'C': 9}",NF
Steal My Girl Chords,Key Not Find,3rd fret,"['G', 'Am', 'C', 'D']","{'G': 19, 'Am': 11, 'C': 20, 'D': 10}",NF
The Scientist Chords,Dm,5th fret,"['Am7', 'F', 'C', 'C/B', 'D', 'A', 'C6', 'G']","{'Am7': 16, 'F': 22, 'C': 35, 'C/B': 14, 'D': 1, 'A': 1, 'C6': 2, 'G': 2}",73 bpm
Heres Your Perfect Chords,F#,no capo,"['F#', 'C#', 'D#m', 'B', 'A#m', 'Dm']","{'F#': 10, 'C#': 16, 'D#m': 9, 'B': 9, 'A#m': 2, 'Dm': 5}",NF
Make You Mine Chords,C,no capo,"['C', 'Em', 'Am', 'F', 'Dm']","{'C': 17, 'Em': 17, 'Am': 16, 'F': 17, 'Dm': 3}",103 bpm
Hamari Adhuri Kahani Title Track Chords,Key Not Find,no capo,"['C', 'Am', 'G', 'F', 'Em', 'Dm']","{'C': 22, 'Am': 16, 'G': 28, 'F': 24, 'Em': 4, 'Dm': 2}",NF
Live While Were Young Chords,D,no capo,"['G', 'D', 'A', 'Bm']","{'G': 31, 'D': 54, 'A': 25, 'Bm': 8}",126 bpm
Manjha Chords,Am,2nd fret,"['Am', 'Em', 'F', 'G']","{'Am': 10, 'Em': 10, 'F': 7, 'G': 7}",NF
Luka Chuppi - Duniyaa Chords,F,3rd fret,"['C', 'D', 'Em', 'Bm', 'Am']","{'C': 27, 'D': 42, 'Em': 32, 'Bm': 12, 'Am': 10}",77 bpm
One Thing Chords,D,2nd fret,"['C', 'G', 'Am', 'F']","{'C': 58, 'G': 45, 'Am': 31, 'F': 6}",127 bpm
Story Of My Life Chords,Eb,3rd fret,"['Am', 'C', 'F', 'G']","{'Am': 24, 'C': 23, 'F': 25, 'G': 10}",121 bpm
Closer Chords,C,1st fret,"['C', 'D', 'Em']","{'C': 40, 'D': 81, 'Em': 41}",95 bpm
Chaand Baaliyan Chords,Db,1st fret,"['C', 'Am7', 'G', 'F']","{'C': 18, 'Am7': 4, 'G': 10, 'F': 6}",97 bpm
Baby Chords,Key Not Find,3rd fret,"['G', 'Em', 'C', 'D']","{'G': 14, 'Em': 13, 'C': 13, 'D': 12}",NF
Love Me Like You Do Chords,Key Not Find,no capo,"['C', 'G', 'Am', 'F']","{'C': 18, 'G': 23, 'Am': 23, 'F': 18}",95 bpm
Cheap Thrills Chords,Em,2nd fret,"['Em', 'C', 'G', 'D']","{'Em': 37, 'C': 37, 'G': 37, 'D': 36}",90 bpm
Let Me Chords,A,no capo,"['A', 'Dmaj7', 'F#m', 'Bm7', 'E', 'C#m7']","{'A': 17, 'Dmaj7': 16, 'F#m': 4, 'Bm7': 16, 'E': 13, 'C#m7': 13}",84 bpm
Pillowtalk Chords,Key Not Find,4th fret,"['C', 'D', 'Em', 'G']","{'C': 26, 'D': 29, 'Em': 9, 'G': 11}",NF
Need You Now Chords,E,4th fret,"['F', 'Am', 'C', 'Em', 'G/B', 'Gsus', 'G']","{'F': 20, 'Am': 10, 'C': 12, 'Em': 10, 'G/B': 1, 'Gsus': 1, 'G': 1}",108 bpm
Hey Soul Sister Chords,E,4th fret,"['C', 'G', 'Am', 'F']","{'C': 26, 'G': 45, 'Am': 14, 'F': 28}",97 bpm
Omg Chords,Key Not Find,no capo,"['Em', 'D', 'Bm7', 'C']","{'Em': 34, 'D': 34, 'Bm7': 32, 'C': 32}",130 bpm
Airplanes Chords,Key Not Find,2nd fret,"['Em', 'C', 'G']","{'Em': 34, 'C': 34, 'G': 32}",NF
