,Unnamed: 0,Song_Name,Key,Capo,Chord,BPM,Freq_map
257,107,Heres Your Perfect Chords,F#,no capo,"['F#', 'C#', 'D#m', 'B', 'A#m', 'Dm']",NF,"{'C': 10, 'G': 16, 'Am': 9, 'F': 9, 'Em': 2, 'G#m': 5}"
258,76,Happier Chords,F#,6th fret,"['C', 'Am', 'Dm', 'G7']",57 bpm,"{'C': 9, 'Am': 9, 'Dm': 17, 'G7': 12}"
259,376,More Than Words Chords,F#,no capo,"['G', 'Cadd9', 'Am7', 'C', 'D', 'Em', 'D/F#', 'D7', 'G7', 'Cm', 'Em7', 'Bm', 'G/B']",85 bpm,"{'C#': 25, 'F#add9': 7, 'D#m7': 17, 'F#': 18, 'G#': 9, 'A#m': 6, 'G#/C': 6, 'G#7': 8, 'C#7': 3, 'F#m': 2, 'A#m7': 4, 'Fm': 4, 'C#/F': 4}"
260,221,More Than Words Chords,F#,no capo,"['G', 'Cadd9', 'Am7', 'C', 'D', 'Em', 'D/F#', 'D7', 'G7', 'Cm', 'Em7', 'Bm', 'G/B']",85 bpm,"{'C#': 25, 'F#add9': 7, 'D#m7': 17, 'F#': 18, 'G#': 9, 'A#m': 6, 'G#/C': 6, 'G#7': 8, 'C#7': 3, 'F#m': 2, 'A#m7': 4, 'Fm': 4, 'C#/F': 4}"
261,348,Wonderwall Chords,F#m,2nd fret,"['Em', 'G', 'D', 'A7sus4', 'C']",87 bpm,"{'Am': 53, 'C': 33, 'G': 26, 'D7sus4': 19, 'F': 23}"
262,379,I Want It That Way Chords,F#m,2nd fret,"['Em', 'C', 'G', 'D', 'Bm', 'G/D', 'Am', 'E', 'F#m', 'A']",99 bpm,"{'Am': 25, 'F': 22, 'C': 20, 'G': 25, 'Em': 1, 'C/G': 2, 'Dm': 1, 'A': 13, 'Bm': 10, 'D': 7}"
263,368,The Night We Met Chords,F#m,2nd fret,"['Em', 'D', 'G', 'C']",58 bpm,"{'Am': 25, 'G': 8, 'C': 25, 'F': 17}"
264,192,Wonderwall Chords,F#m,2nd fret,"['Em', 'G', 'D', 'A7sus4', 'C']",87 bpm,"{'Am': 53, 'C': 33, 'G': 26, 'D7sus4': 19, 'F': 23}"
265,75,Good 4 U Chords,F#m,no capo,"['F#m', 'E', 'D', 'C#7', 'A', 'B']",83 bpm,"{'Am': 42, 'G': 56, 'F': 18, 'E7': 4, 'C': 14, 'D': 15}"
266,67,Galway Girl Chords,F#m,2nd fret,"['Em', 'G', 'D', 'Cadd9', 'C', 'Am7']",100 bpm,"{'Am': 26, 'C': 36, 'G': 34, 'Fadd9': 16, 'F': 14, 'Dm7': 2}"
267,322,Snuff Chords,F#m,no capo,"['Am', 'Em', 'F', 'C', 'G', 'A5', 'B5', 'C5', 'E5', 'F5']",62 bpm,"{'Cm': 30, 'Gm': 18, 'G#': 21, 'D#': 15, 'A#': 12, 'C5': 1, 'D5': 1, 'D#5': 1, 'G5': 1, 'G#5': 1}"
268,224,I Want It That Way Chords,F#m,2nd fret,"['Em', 'C', 'G', 'D', 'Bm', 'G/D', 'Am', 'E', 'F#m', 'A']",99 bpm,"{'Am': 25, 'F': 22, 'C': 20, 'G': 25, 'Em': 1, 'C/G': 2, 'Dm': 1, 'A': 13, 'Bm': 10, 'D': 7}"
269,287,Glimpse Of Us Chords,Fm,1st fret,"['Am', 'D7', 'G', 'Em', 'D/F#', 'Em7', 'E7']",57 bpm,"{'Dm': 24, 'G7': 24, 'C': 19, 'Am': 16, 'G/B': 11, 'Am7': 1, 'A7': 1}"
270,304,Life On Mars Chords,Fm,no capo,"['F', 'Am', 'Cm/D#', 'D7', 'Gm', 'A#', 'C7', 'G#', 'Eaug', 'Fm', 'G#7', 'C#', 'Aaug', 'A#m', 'C#7', 'D#', 'Gm7', 'F#aug', 'Cm7', 'D#m7', 'A#/F', 'C/E', 'F#dim', 'Ddim']",NF,"{'A': 12, 'C#m': 6, 'Em/G': 5, 'F#7': 5, 'Bm': 8, 'D': 10, 'E7': 5, 'C': 3, 'G#aug': 3, 'Am': 7, 'C7': 3, 'F': 3, 'C#aug': 3, 'Dm': 4, 'F7': 3, 'G': 5, 'Bm7': 5, 'A#aug': 7, 'Em7': 5, 'Gm7': 5, 'D/A': 2, 'E/G#': 2, 'A#dim': 1, 'F#dim': 1}"
271,230,Something In The Way Chords,Fm,1st fret,"['Em', 'C/G']",102 bpm,"{'Am': 45, 'F/C': 45}"
272,315,Boulevard Of Broken Dreams Chords,Fm,1st fret,"['Em', 'G', 'D', 'A', 'C', 'B7', 'B', 'A/C#', 'D#5']",83 bpm,"{'Am': 44, 'C': 42, 'G': 38, 'D': 22, 'F': 20, 'E7': 4, 'E': 1, 'D/F#': 4, 'G#5': 4}"
273,197,Over The Rainbow Chords,G,5th fret,"['G/D', 'D', 'Em', 'C/E', 'C', 'G', 'Bm', 'B7']",170 bpm,"{'F/C': 2, 'C': 6, 'Dm': 12, 'A#/D': 3, 'A#': 23, 'F': 20, 'Am': 10, 'A7': 2}"
274,260,Moon River Chords,G,no capo,"['G', 'Em', 'C', 'Am', 'B7', 'G7', 'Cm', 'Em7', 'A7', 'D7']",80 bpm,"{'C': 19, 'Am': 9, 'F': 12, 'Dm': 7, 'E7': 3, 'C7': 2, 'Fm': 5, 'Am7': 4, 'D7': 2, 'G7': 4}"
275,389,Something In The Orange Chords,G,no capo,"['Em', 'G', 'D/F#', 'Cadd9', 'D']",166 bpm,"{'Am': 29, 'C': 28, 'G/B': 12, 'Fadd9': 14, 'G': 15}"
276,237,Something In The Orange Chords,G,no capo,"['Em', 'G', 'D/F#', 'Cadd9', 'D']",166 bpm,"{'Am': 29, 'C': 28, 'G/B': 12, 'Fadd9': 14, 'G': 15}"
277,45,Little Things Chords,G,no capo,"['G', 'C', 'Em', 'D', 'Am']",110 bpm,"{'C': 18, 'F': 30, 'Am': 15, 'G': 22, 'Dm': 12}"
278,48,Cherry Chords,G,7th fret,"['C', 'Cadd9', 'C/B', 'Am7', 'A7sus4', 'Fadd9', 'Fmaj7', 'G', 'F', 'Em', 'Dm', 'A', 'Am']",96 bpm,"{'C': 14, 'Cadd9': 2, 'C/B': 9, 'Am7': 10, 'A7sus4': 1, 'Fadd9': 1, 'Fmaj7': 9, 'G': 6, 'F': 1, 'Em': 1, 'Dm': 1, 'A': 5, 'Am': 3}"
279,301,Merry Christmas Everyone Chords,G,2nd fret,"['G', 'B7/F#', 'Em', 'C', 'D', 'A', 'C#7/G#', 'F#m', 'E']",102 bpm,"{'D': 44, 'F#7/C#': 12, 'Bm': 16, 'G': 23, 'A': 28, 'E': 25, 'G#7/D#': 7, 'C#m': 7, 'B': 9}"
280,332,Make You Feel My Love Chords,G,3rd fret,"['G', 'D', 'F', 'C', 'Cm', 'A7', 'D7', 'B7']",70 bpm,"{'D#': 25, 'A#': 6, 'C#': 6, 'G#': 12, 'G#m': 6, 'F7': 9, 'A#7': 9, 'G7': 2}"
281,247,Banana Pancakes Chords,G,no capo,"['G7', 'D7', 'Am7', 'C7', 'D', 'Bm', 'Em', 'G', 'D9', 'Em/D#', 'C']",114 bpm,"{'C7': 10, 'G7': 2, 'Dm7': 27, 'F7': 16, 'G': 3, 'Em': 2, 'Am': 2, 'C': 17, 'G9': 12, 'Am/G#': 1, 'F': 1}"
282,393,The 30Th Chords,G,no capo,"['G', 'D', 'Em', 'Am', 'C', 'Cm', 'B7']",72 bpm,"{'C': 24, 'G': 17, 'Am': 23, 'Dm': 8, 'F': 12, 'Fm': 3, 'E7': 7}"
283,329,Have Yourself A Merry Little Christmas Chords,G,no capo,"['G', 'Em7', 'Am7', 'D7', 'B7', 'E7', 'A7', 'D', 'Em', 'G7', 'Cmaj7', 'Cm6', 'Bm', 'A#dim', 'Am', 'Gmaj7', 'F#7']",65 bpm,"{'C': 15, 'Am7': 11, 'Dm7': 13, 'G7': 14, 'E7': 3, 'A7': 2, 'D7': 2, 'G': 1, 'Am': 3, 'C7': 2, 'Fmaj7': 2, 'Fm6': 1, 'Em': 2, 'D#dim': 1, 'Dm': 1, 'Cmaj7': 1, 'B7': 1}"
284,231,Jersey Giant Acoustic Chords,G,no capo,"['G', 'D', 'Am', 'C']",190 bpm,"{'C': 19, 'G': 20, 'Dm': 23, 'F': 22}"
