,Unnamed: 0.1,Unnamed: 0,Song_Name,Key,Capo,Chord,BPM,Freq_map
140,265,75,Good 4 U Chords,F#m,no capo,"['F#m', 'E', 'D', 'C#7', 'A', 'B']",83 bpm,"{'Am': 42, 'G': 56, 'F': 18, 'E7': 4, 'C': 14, 'D': 15}"
141,266,67,Galway Girl Chords,F#m,2nd fret,"['Em', 'G', 'D', 'Cadd9', 'C', 'Am7']",100 bpm,"{'Am': 26, 'C': 36, 'G': 34, 'Fadd9': 16, 'F': 14, 'Dm7': 2}"
142,271,230,Something In The Way Chords,Fm,1st fret,"['Em', 'C/G']",102 bpm,"{'Am': 45, 'F': 45}"
143,275,389,Something In The Orange Chords,G,no capo,"['Em', 'G', 'D/F#', 'Cadd9', 'D']",166 bpm,"{'Am': 29, 'C': 28, 'G': 12, 'Fadd9': 14, 'G': 15}"
145,277,45,Little Things Chords,G,no capo,"['G', 'C', 'Em', 'D', 'Am']",110 bpm,"{'C': 18, 'F': 30, 'Am': 15, 'G': 22, 'Dm': 12}"
146,284,231,Jersey Giant Acoustic Chords,G,no capo,"['G', 'D', 'Am', 'C']",190 bpm,"{'C': 19, 'G': 20, 'Dm': 23, 'F': 22}"
147,286,186,Creep Chords,G,no capo,"['G', 'B', 'C', 'Cm']",92 bpm,"{'C': 12, 'E': 11, 'F': 11, 'Fm': 13}"
149,290,232,Joy To The World Chords,G,no capo,"['G', 'D', 'C']",100 bpm,"{'C': 28, 'G': 16, 'F': 8}"
150,291,77,Enough For You Chords,G,no capo,"['G', 'Em', 'C']",88 bpm,"{'C': 48, 'Am': 34, 'F': 34}"
151,292,222,Maroon Chords,G,no capo,"['C', 'G', 'Em', 'Dsus4', 'D']",NF,"{'F': 24, 'C': 24, 'Am': 22, 'Gsus4': 1, 'G': 24}"
152,293,340,Silent Night Chords,G,no capo,"['G', 'D', 'D7', 'C', 'Em']",84 bpm,"{'C': 27, 'G': 12, 'G7': 7, 'F': 7, 'Am': 4}"
153,295,155,Fight Song Chords,G,no capo,"['G', 'Em', 'Cadd9', 'G', 'D', 'Em7']",88 bpm,"{'C': 17, 'Am': 5, 'Fadd9': 17, 'C': 4, 'G': 14, 'Am7': 11}"
154,296,16,To Be So Lonely Chords,C,no capo,"['C', 'Am', 'G', 'Em', 'Fmaj7', 'D5']",105 bpm,"{'C': 10, 'Am': 19, 'G': 10, 'Em': 10, 'Fmaj7': 11, 'D5': 1}"
155,305,384,Joy To The World Chords,G,no capo,"['G', 'D', 'C']",100 bpm,"{'C': 28, 'G': 16, 'F': 8}"
156,307,11,Little Things Chords,G,no capo,"['G', 'C', 'Em', 'D', 'Am']",110 bpm,"{'C': 18, 'F': 30, 'Am': 15, 'G': 22, 'Dm': 12}"
157,309,343,Creep Chords,G,no capo,"['G', 'B', 'C', 'Cm']",92 bpm,"{'C': 12, 'E': 11, 'F': 11, 'Fm': 13}"
158,311,314,Jingle Bells Chords,G,no capo,"['G', 'C', 'Am', 'D7', 'D', 'A7']",104 bpm,"{'C': 43, 'F': 24, 'Dm': 8, 'G7': 20, 'G': 4, 'D7': 4}"
160,316,160,YounF#lood Chords,Gm,3rd fret,"['Em', 'D', 'G', 'C']",120 bpm,"{'Am': 26, 'G': 42, 'C': 22, 'F': 25}"
161,317,65,Havana Chords,Gm,3rd fret,"['Em', 'C', 'B7']",105 bpm,"{'Am': 48, 'F': 44, 'E7': 46}"
