Song_name,Artist_name,Scale,BPM
Watermelon Sugar,Joji,G#,85
The Great War,The White Stripes,F,96
Skinny Love (ver 4),Oasis,G,125
The Man Who Sold The World (ver 2),Nirvana,C#m,115
Mad World,Gary Jules,D#,174
Hey Soul Sister (ver 2),Train,E,97
Sweet Caroline,Neil Diamond,B,63
Sign Of The Times,Harry Styles,F,120
Mistletoe (ver 5),Justin Bieber,A,81
Clocks,Coldplay,Fm,131
Goodbye Yellow Brick Road,Elton John,F,121
Toy Story - Youve Got A Friend In Me,Misc Cartoons,Cm,116
How To Save A Life,Randy Newman,A#,122
The Scientist (ver 4),The Fray,F#,74
Starman (ver 2),Coldplay,C#,103
Sultans Of Swing (ver 2),David Bowie,Dm,154
Drops Of Jupiter,Dire Straits,C,79
The Boxer,Adele,B,93
Summertime Sadness,Simon & Garfunkel,C#m,112
Blackbird (ver 2),Lana Del Rey,A,93
With Or Without You,The Beatles,D,107
Teenage Dirtbag,U2,E,95
Golden Hour (ver 3),Kate Bush,Fm,128
The Christmas Song (ver 3),JVKE,A#,60
Lady May,Otis Redding,D,104
Across The Universe,Tyler Childers,B,78
Cover Me Up,The Beatles,E,139
Circles,Morgan Wallen,C,102
Beggin,Post Malone,Dm,160
Otherside,Måneskin,Gm,124
This Town,Red Hot Chili Peppers,Gm,110
The Greatest Showman - A Million Dreams (ver 2),Niall Horan,G,55
My Sweet Lord,Misc Soundtrack,C#m,121
Everybody Wants To Rule The World Acoustic,George Harrison,G,112
Crazy Little Thing Called Love,The Beatles,C,77
Hit The Road Jack,Queen,G#m,173
10000 Reasons Bless The Lord,Ray Charles,G,145
Funeral,Matt Redman,G,145
Count On Me (ver 3),Phoebe Bridgers,G#,116
Set Fire To The Rain (ver 2),Bruno Mars,Dm,128
Hey There Delilah (ver 3),Adele,D,104
Take On Me Acoustic,Plain White T's,A,130
Mastermind,Bo Burnham,G#m,96
Castle On The Hill,Taylor Swift,Am,135
Grenade,Ed Sheeran,Dm,98
Exit Music For A Film (ver 2),Bruno Mars,Em,123
Fairytale Of New York (ver 2),Radiohead,D,101
Accidentally In Love,Pogues,G,138
You Are My Sunshine,Johnny Cash,A,90
Santa Tell Me,Ariana Grande,G,96
The 30Th,Billie Eilish,G,83
Suspicious Minds,Elvis Presley,G,117
All I Ask,Adele,E,142
A Sky Full Of Stars (ver 2),Coldplay,F#,75
Peaceful Easy Feeling,Eagles,E,143
Stitches,Shawn Mendes,C#,150
Numb,Linkin Park,A,110
I Dont Want To Miss A Thing,Aerosmith,D,121
Moon River (ver 6),Audrey Hepburn,F,76
No Se Va,Grupo Frontera,C,173
Complicated,Avril Lavigne,F,78
Can You Feel The Love Tonight (ver 2),Elton John,A#,126
Skyfall (ver 4),Adele,Cm,75
Cant Take My Eyes Off You,Joseph Vincent,C#,88
All My Loving,The Beatles,C#m,78
Creep (ver 2),Radiohead,G,82
Karma (ver 2),Taylor Swift,G#,90
Stairway To Heaven (ver 5),Led Zeppelin,G,80
Wonderwall (ver 5),Oasis,D,90
Torn,Natalie Imbruglia,F,96
Summer Of 69,Bryan Adams,D,139
Proud Mary,Creedence Clearwater Revival,D,121
Bridge Over Troubled Water (ver 2),Simon & Garfunkel,D#,84
Ceilings (ver 2),Lizzy McAlpine,A,148
Run Away To Mars,TALK,A,119
I Love You,Billie Eilish,C,137
Save Your Tears,The Weeknd,C,118
The Perfect Pair,beabadoobee,B,146
About You,The 1975,D,96
Black Panther Wakanda Forever - Lift Me Up,Misc Soundtrack,A,89
Lemon Tree (ver 2),Rihanna,C#,95
Bohemian Rhapsody,U2,F,83
Merry Christmas Everyone,Steve Lacy,Am,151
Half The World Away (ver 2),Shakin' Stevens,G#,65
Friday Im In Love,Oasis,C#,148
Island In The Sun,The Cure,A#,136
August,Weezer,G#,92
Thank You (ver 2),Taylor Swift,C#,96
Apocalypse,Dido,Am,83
Afterglow (ver 2),Cigarettes After Sex,D#,94
Favorite Crime,Ed Sheeran,E,103
Home (ver 2),Olivia Rodrigo,D,146
Snuff,Edward Sharpe and the Magnetic Zeros,F#m,124
I Walk The Line (ver 3),Slipknot,A#,106
This Is The Life (ver 3),Johnny Cash,C#m,94
Video Games,Lana Del Rey,F#m,73
