,Unnamed: 0,Song_name,Artist_name,Scale_x,BPM,Scale_y,Capo,Chords,Frquency_map_of_each_chord,bpm
78,78,Chasing Cars,Snow Patrol,A,104,A,no capo,"['A', 'E/G#', 'D', 'Dsus2', 'Dmaj7']","{'A': 30, 'E/G#': 15, 'D': 7, 'Dsus2': 1, 'Dmaj7': 8}",104 
80,80,Blowin In The Wind,Bob Dylan,D,175,D,7th fret,"['G', 'C', 'D']","{'G': 36, 'C': 33, 'D': 24}",175 
81,81,Forget Me,Lewis Capaldi,C#m,102,B,4th fret,"['F', 'Am', 'G', 'Dm']","{'F': 18, 'Am': 23, 'G': 25, 'Dm': 3}",102 
83,83,Counting Stars,OneRepublic,F,137,Am,4th fret,"['Am', 'C', 'G', 'F', 'Dm']","{'Am': 28, 'C': 27, 'G': 27, 'F': 33, 'Dm': 1}",122 
85,85,Snap,Robert Lopez,C#,144,Am,no capo,"['Am', 'F', 'C', 'G', 'G/B']","{'Am': 25, 'F': 29, 'C': 27, 'G': 11, 'G/B': 18}",85 
87,87,A Horse With No Name,Rosa Linn,Bm,100,Em,no capo,"['Em', 'D6/9', 'Em9', 'Dmaj9']","{'Em': 24, 'D6/9': 24, 'Em9': 24, 'Dmaj9': 24}",123 
90,90,Dreams,Johnny Cash,A,174,F,no capo,"['Fmaj7', 'F', 'G', 'G6', 'Am']","{'Fmaj7': 30, 'F': 33, 'G': 49, 'G6': 13, 'Am': 1}",120 
91,91,Joy To The World,The Beatles,E,144,G,no capo,"['G', 'D', 'C']","{'G': 28, 'D': 16, 'C': 8}",100 
94,94,Stand By Me,Ben E. King,A,118,A,2nd fret,"['G', 'Em', 'C', 'D']","{'G': 36, 'Em': 18, 'C': 9, 'D': 9}",120 
97,97,Leaving On A Jet Plane,John Denver,G,121,G,no capo,"['D', 'G', 'C']","{'D': 13, 'G': 36, 'C': 36}",133 
100,100,Wellerman,The Longest Johns,D#,95,Am,3rd fret,"['Am', 'Dm', 'E', 'F', 'C', 'G']","{'Am': 38, 'Dm': 14, 'E': 12, 'F': 14, 'C': 14, 'G': 1}",95 
101,101,Made You Look,Meghan Trainor,A#,145,A#,1st fret,"['A', 'C#/F', 'F#m', 'D', 'E', 'B']","{'A': 27, 'C#/F': 5, 'F#m': 7, 'D': 10, 'E': 10, 'B': 2}",NF
103,103,Feathered Indians,Tyler Childers,G,87,Key Not Find,5th fret,"['D', 'A', 'G', 'A7', 'Bm']","{'D': 12, 'A': 16, 'G': 28, 'A7': 8, 'Bm': 5}",168 
107,107,Burn Burn Burn,Queen,D,125,Key Not Find,3rd fret,"['C', 'Am', 'G', 'F']","{'C': 45, 'Am': 21, 'G': 21, 'F': 12}",165 
108,108,Romantic Homicide,Nirvana,G,136,F#,6th fret,"['Fmaj7', 'Cmaj7']","{'Fmaj7': 8, 'Cmaj7': 8}",66 
111,111,Ocean Eyes,Elvis Presley,Em,145,Em,no capo,"['C', 'Dsus2', 'Em', 'G', 'G/B']","{'C': 52, 'Dsus2': 33, 'Em': 33, 'G': 19, 'G/B': 19}",72 
112,112,Wonderwall,Misc Praise Songs,G#,139,F#m,2nd fret,"['Em', 'G', 'D', 'A7sus4', 'C']","{'Em': 53, 'G': 33, 'D': 26, 'A7sus4': 19, 'C': 23}",87 
114,114,Wonderwall,Misc Praise Songs,G#,139,F#m,no capo,"['F#m7', 'A', 'Esus4', 'B7sus4', 'D', 'F#m']","{'F#m7': 54, 'A': 38, 'Esus4': 26, 'B7sus4': 18, 'D': 27, 'F#m': 7}",87 
115,115,Wonderwall,Misc Praise Songs,G#,139,Em,2nd fret,"['Em7', 'G', 'Dsus4', 'A7sus4', 'Cadd9', 'Dsus4/F#']","{'Em7': 36, 'G': 25, 'Dsus4': 18, 'A7sus4': 15, 'Cadd9': 16, 'Dsus4/F#': 2}",88 
116,116,Mad World,Gary Jules,D#,174,Fm,1st fret,"['Em', 'A', 'G', 'D']","{'Em': 24, 'A': 24, 'G': 8, 'D': 8}",87 
121,121,How To Save A Life,Randy Newman,A#,122,G,3rd fret,"['G', 'D/F#', 'Bm', 'Em', 'D', 'C']","{'G': 39, 'D/F#': 42, 'Bm': 2, 'Em': 26, 'D': 31, 'C': 12}",122 
122,122,Drops Of Jupiter,Dire Straits,C,79,C,no capo,"['C', 'G', 'F', 'D', 'Dm', 'A#']","{'C': 18, 'G': 21, 'F': 24, 'D': 7, 'Dm': 3, 'A#': 2}",80 
124,124,Summertime Sadness,Simon & Garfunkel,C#m,112,F,4th fret,"['F', 'Am', 'G', 'Dm']","{'F': 29, 'Am': 28, 'G': 30, 'Dm': 26}",112 
125,125,With Or Without You,The Beatles,D,107,D,no capo,"['D', 'A', 'Bm', 'G']","{'D': 31, 'A': 28, 'Bm': 28, 'G': 28}",110 
128,128,Beggin,Post Malone,Dm,160,Bm,no capo,"['Bm', 'G', 'C#m7', 'F#7']","{'Bm': 29, 'G': 25, 'C#m7': 25, 'F#7': 25}",134 
129,129,Otherside,Måneskin,Gm,124,Am,no capo,"['Am', 'F', 'C', 'G', 'Em', 'A']","{'Am': 29, 'F': 16, 'C': 20, 'G': 24, 'Em': 16, 'A': 8}",122 
133,133,Hit The Road Jack,Queen,G#m,173,Am,no capo,"['Am', 'G', 'F', 'E7']","{'Am': 42, 'G': 42, 'F': 42, 'E7': 42}",173 
135,135,Funeral,Matt Redman,G,145,B,4th fret,"['G', 'C', 'Em', 'D']","{'G': 43, 'C': 35, 'Em': 17, 'D': 25}",172 
136,136,Mastermind,Bo Burnham,G#m,96,E,4th fret,"['C', 'F', 'Am', 'G', 'C/B', 'Em']","{'C': 21, 'F': 23, 'Am': 9, 'G': 10, 'C/B': 3, 'Em': 1}",126 
138,138,Accidentally In Love,Pogues,G,138,Key Not Find,no capo,"['G', 'C', 'D', 'Em', 'A', 'Am']","{'G': 31, 'C': 36, 'D': 23, 'Em': 16, 'A': 7, 'Am': 13}",138 
139,139,You Are My Sunshine,Johnny Cash,A,90,A,no capo,"['A', 'D', 'E', 'A/D', 'A/C#']","{'A': 33, 'D': 12, 'E': 6, 'A/D': 1, 'A/C#': 1}",80 
143,143,Peaceful Easy Feeling,Eagles,E,143,E,2nd fret,"['D', 'Dsus4', 'G', 'A7', 'Em']","{'D': 47, 'Dsus4': 8, 'G': 41, 'A7': 24, 'Em': 13}",143 
