name,author_name,scale_x,bpm_x,scale_y,capo,chords,bpm_y,Freq_map
Sign Of The Times,Harry Styles,F,120,F,no capo,"['F', 'Dm', 'C', 'C7', 'A#', 'Am', 'G', 'G7']",62 bpm,"{'C': 23, 'Am': 21, 'G': 22, 'G7': 10, 'F': 5, 'Em': 1, 'D': 1, 'D7': 1}"
Clocks,Coldplay,Fm,131,Fm,1st fret,"['D', 'Am', 'Em', 'Em/G', 'Fmaj7', 'C', 'G']",131 bpm,"{'G': 28, 'Dm': 44, 'Am': 23, 'Am/C': 5, 'A#maj7': 4, 'F': 3, 'C': 3}"
Sultans Of Swing,David Bowie,Dm,154,Dm,no capo,"['Dm', 'Dm/C', 'C', 'A#', 'A', 'F', 'A7']",150 bpm,"{'Am': 43, 'Am/G': 2, 'G': 58, 'F': 45, 'E': 16, 'C': 8, 'E7': 1}"
Drops Of Jupiter,Dire Straits,C,79,C,no capo,"['C', 'G', 'F', 'D', 'Dm', 'A#']",80 bpm,"{'C': 18, 'G': 21, 'F': 24, 'D': 7, 'Dm': 3, 'A#': 2}"
The Boxer,Adele,B,93,B,no capo,"['C', 'C/B', 'Am', 'G', 'G7', 'G6', 'F', 'Em']",93 bpm,"{'C#': 40, 'C#/C': 15, 'A#m': 43, 'G#': 31, 'G#7': 13, 'G#6': 6, 'F#': 13, 'Fm': 11}"
With Or Without You,The Beatles,D,107,D,no capo,"['D', 'A', 'Bm', 'G']",110 bpm,"{'C': 31, 'G': 28, 'Am': 28, 'F': 28}"
Circles,Morgan Wallen,C,102,C,no capo,"['Cmaj7', 'Fmaj7', 'Fm', 'C', 'F', 'C/B', 'Cmaj7/B']",120 bpm,"{'Cmaj7': 21, 'Fmaj7': 13, 'Fm': 18, 'C': 8, 'F': 13, 'C/B': 3, 'Cmaj7/B': 1}"
Fairytale Of New York,Radiohead,D,101,D,no capo,"['D', 'G/D', 'A', 'Asus4/E', 'G', 'G/A', 'Asus4', 'Bm']",NF,"{'C': 69, 'F/C': 10, 'G': 34, 'Gsus4/D': 4, 'F': 26, 'F/G': 5, 'Gsus4': 1, 'Am': 10}"
You Are My Sunshine,Johnny Cash,A,90,A,no capo,"['A', 'D', 'E', 'A/D', 'A/C#']",80 bpm,"{'C': 33, 'F': 12, 'G': 6, 'C/F': 1, 'C/E': 1}"
Santa Tell Me,Ariana Grande,G,96,G,no capo,"['G', 'C', 'Em', 'D', 'Bm', 'D#', 'F#m']",NF,"{'C': 26, 'F': 25, 'Am': 14, 'G': 16, 'Em': 2, 'G#': 1, 'Bm': 1}"
The 30Th,Billie Eilish,G,83,G,no capo,"['G', 'D', 'Em', 'Am', 'C', 'Cm', 'B7']",72 bpm,"{'C': 24, 'G': 17, 'Am': 23, 'Dm': 8, 'F': 12, 'Fm': 3, 'E7': 7}"
Suspicious Minds,Elvis Presley,G,117,G,no capo,"['G', 'C', 'D', 'Bm', 'D7', 'Em', 'B7sus4', 'B7']",116 bpm,"{'C': 18, 'F': 29, 'G': 13, 'Em': 8, 'G7': 5, 'Am': 4, 'E7sus4': 1, 'E7': 1}"
Peaceful Easy Feeling,Eagles,E,143,E,2nd fret,"['D', 'Dsus4', 'G', 'A7', 'Em']",143 bpm,"{'C': 47, 'Csus4': 8, 'F': 41, 'G7': 24, 'Dm': 13}"
Torn,Natalie Imbruglia,F,96,F,no capo,"['F', 'Fsus4', 'Fsus2', 'Am', 'A#', 'Dm', 'C']",96 bpm,"{'C': 28, 'Csus4': 1, 'Csus2': 1, 'Em': 8, 'F': 18, 'Am': 18, 'G': 24}"
