name,author_name,scale,bpm
Feathered Indians,Tyler Childers,G,87
Tennessee Whiskey,Chris Stapleton,A,49
Free Fallin,Tom Petty,F,84
A Star Is Born - Shallow,Misc Soundtrack,G,100
Careless Whisper,Lady Gaga,Bm,159
Comfortably Numb,Bradley Cooper,F#,115
Dont Stop Me Now,George Michael,F,155
Patience,Pink Floyd,A,120
Burn Burn Burn,Queen,D,125
Where Did You Sleep Last Night,Guns N' Roses,G#,120
Traitor,Zach Bryan,Em,119
Romantic Homicide,Nirvana,G,136
Believer,Olivia Rodrigo,D#,87
Hey Jude,d4vd,F,134
Dont Stop Believin (ver 13),Imagine Dragons,G#,148
Im Still Standing,The Beatles,F#,88
November Rain,Journey,B,78
Yesterday,Elton John,Cm,76
Wonderwall,Guns N' Roses,E,100
Reckless Love,The Beatles,F#,111
Blue Christmas,Oasis,F,150
Take On Me,Cory Asbury,G#,140
Ocean Eyes,Elvis Presley,Em,145
How Do I Say Goodbye,a-ha,G#,82
Snow On The Beach,Billie Eilish,A,110
Amazing Grace,Dean Lewis,G,112
Glimpse Of Us,Taylor Swift,G#,170
Seven Nation Army,Lana Del Rey,C#m,112
Wonderwall,Misc Praise Songs,G#,139
Wild World,John Newton,C,153
Watermelon Sugar,Joji,G#,85
The Great War,The White Stripes,F,96
Skinny Love,Oasis,G,125
The Man Who Sold The World,Nirvana,C#m,115
Mad World,Gary Jules,D#,174
Hey Soul Sister,Train,E,97
Sweet Caroline,Neil Diamond,B,63
Sign Of The Times,Harry Styles,F,120
Mistletoe,Justin Bieber,A,81
Clocks,Coldplay,Fm,131
Goodbye Yellow Brick Road,Elton John,F,121
Toy Story - Youve Got A Friend In Me,Misc Cartoons,Cm,116
How To Save A Life,Randy Newman,A#,122
The Scientist,The Fray,F#,74
Starman,Coldplay,C#,103
Sultans Of Swing,David Bowie,Dm,154
Drops Of Jupiter,Dire Straits,C,79
The Boxer,Adele,B,93
Summertime Sadness,Simon & Garfunkel,C#m,112
Blackbird,Lana Del Rey,A,93
With Or Without You,The Beatles,D,107
Teenage Dirtbag,U2,E,95
