name,author_name,scale,bpm
Feeling Good,Pentatonix,B,70
Mulan - Reflection,Nina Simone,A,93
Город Под Подошвой,Misc Cartoons,A#m,90
Fire On Fire,Oxxxymiron,A#m,85
Control,Sam Smith,A,119
Forever After All,Zoe Wees,G,164
Happier,Luke Combs,C#,131
Stick Season,Clinton Kane,A#m,129
Babalik Sayo,Noah Kahan,G,89
Beauty And The Beast Theme,Luke Combs,G#,172
Jingle Bell Rock,Misc Cartoons,D,120
Everybody Talks,Bobby Helms,D,120
Canon In D,Neon Trees,D,64
Liability,Johann Pachelbel,D,153
People Are Strange,Lorde,Bm,128
Whiskey In The Jar,The Doors,A#,133
Christmas Lights,Metallica,G,129
Hotel California,Coldplay,D,75
Desperado,Eagles,G,60
Still Got The Blues,Gary Moore,Am,170
With Or Without You,U2,D,110
Its My Life,Bon Jovi,Cm,121
The Blowers Daughter,Damien Rice,E,133
Money For Nothing,Dire Straits,Dm,134
Walk On The Wild Side,Lou Reed,C,104
Son Of A Preacher Man,Dusty Springfield,E,91
O Tannenbaum,Misc Christmas,F,161
Drinkin Problem,Midland,A,102
Six Feet Under,Billie Eilish,Bm,68
Shout To The Lord,Chris Tomlin,C#,96
Mystery Of Love,Sufjan Stevens,Em,132
Wagon Wheel,Old Crow Medicine Show,A,146
A Pearl,Mitski,G#,85
Hold Me While You Wait,Lewis Capaldi,B,106
God Speed,Zach Bryan,C,79
Frozen 2 - All Is Found,Misc Cartoons,F,83
Pancakes For Dinner,Lizzy McAlpine,B,142
My Tears Ricochet,Taylor Swift,C,130
Cover Me In Sunshine,P!nk,F,160
Billie Bossa Nova,Willow Sage Hart,Gm,110
Tänd Ett Ljus,Billie Eilish,A,108
Castle On The Hill,Ankan Kumar,D,133
Whiskey Lullaby,Ed Sheeran,D,74
If I Die Young,Brad Paisley,E,131
Robbers,The Band Perry,E,100
Sea Of Love,The 1975,D,121
Emmylou,Cat Power,F#,88
Colder Weather,First Aid Kit,D#,136
Jailhouse Rock,Zac Brown Band,C#,147
Where Is My Mind,Elvis Presley,E,80
Always,Pixies,Bm,80
Sos,Bon Jovi,C#,101
The Winner Takes It All,ABBA,F#,120
Everywhere,Gregory Alan Isakov,Gm,82
Margaritaville,Fleetwood Mac,F#,165
Your Song,Jimmy Buffett,F,103
Sex And Candy,Townes Van Zandt,D,81
Lost Stars,Marcy Playground,Bm,122
Please Never Fall In Love Again,Adam Levine,F,110
Dusk Till Dawn,Ollie MN,G,100
Rockin Around The Christmas Tree,Zayn,G#,67
Nothing,Misc Christmas,G,123
Señorita,Bruno,Am,117
To The Bone,Shawn Mendes,C#,150
Lonely,Camila Cabello,Dm,84
Astronomy,Pamungkas,C,100
Les Misérables - I Dreamed A Dream,Misc Musicals,D#,168
Les Misérables - On My Own,Misc Musicals,F,110
Wait In The Truck,"HARDY (US, country)",F#,140
The Greatest Day Of My Life,Lainey Wilson,D#,150
Handle With Care,Zach Bryan,G,173
Use Somebody,Traveling Wilburys,D,168
Freaking Out The Neighborhood,Lana Del Rey,F,78
Grease - Hopelessly Devoted To You,Mac DeMarco,Bm,111
Cant Help Falling In Love,Misc Soundtrack,D,100
The Fields Of Athenry,Olivia Newton-John,D,104
Dont Panic,Elvis Presley,D,67
Knocking On Heavens Door,The Dubliners,G,140
The Rose,Eric Clapton,F#,138
Light My Fire,Simon & Garfunkel,G,120
Superstition,Bette Midler,C,160
To Love Somebody,The Doors,A,90
Sailing,Stevie Wonder,F,88
The Thrill Is Gone,Rod Stewart,F#,91
Exs And Ohs,The Doobie Brothers,C#m,106
Swing Life Away,B.B. King,Bm,91
The Greatest Showman - Tightrope,Elle King,A,162
This City,Rise Against,A,101
Sadhai Sadhai,Misc Soundtrack,A,132
Its You,Michelle Williams,Fm,94
Snow,Sam Fischer,C,108
Ser Du Månen Där Du Är Ikväll Tillsammans Igen,Mantra (Nepal),E,95
Josefin,Ali Gatie,D,106
Welcome To The Internet,Zach Bryan,G,110
I Love You So,Thomas Stenström,A#,76
She Had Me At Heads Carolina,Albin Lee Meldau,G#,135
Little Freak,Bo Burnham,D#,142
Scar Tissue,The Walters,C,89
Daughters,Cole Swindell,A,138
Beautiful,Harry Styles,Bm,128
You Are My All In All,Red Hot Chili Peppers,F,101
Santa Claus Is Coming To Town,Will Ferrel,C,120
Revelation Song,Christina Aguilera,B,136
Into My Arms,Aaron Shust,C,148
The Cave,Tom Waits,E,142
Bad Bad Leroy Brown,Misc Christmas,G,148
Sunrise,Kari Jobe,C#,155
Grandma Got Run Over By A Reindeer,Nick Cave & The Bad Seeds,E,109
Give Thanks,Mumford & Sons,Dm,124
Helena,Jim Croce,G#m,130
Eternal Flame,Norah Jones,D,94
Venus,Shocking Blue,C#m,128
Under The Milky Way,The Church,Am,136
Everybodys Talkin,Harry Nilsson,E,125
Last Request,Paolo Nutini,F,81
Hand In My Pocket,Alanis Morissette,C,93
Where The Streets Have No Name,U2,D,126
A Change Is Gonna Come,Sam Cooke,A#,174
Breakfast At Tiffanys,Deep Blue Something,D,111
Believe,Cher,F#,133
Billie Jean,Michael Jackson,Gm,117
The One I Love,R.E.M.,D,128
Aint No Rest For The Wicked,Cage the Elephant,C,156
Mamma Mia,ABBA,D,136
Last Christmas,Wham!,C#,107
50 Ways To Leave Your Lover,Paul Simon,Em,101
Youve Got A Friend,Carole King,G#,169
Lady In Black,Uriah Heep,G,87
San Luis,Gregory Alan Isakov,Gm,82
King Of Kings,Hillsong Worship,D,136
Love Is Gone,SLANDER (US),D#m,130
Letting Someone Go,Dylan Matthew,C,84
Angels Like You,Zach Bryan,E,110
Sarah,Miley Cyrus,F#,134
Khamoshiyan Title Song,Alex G ((Sandy) Alex G),D,170
Buy Dirt,Misc Soundtrack,E,89
Same God,Arijit Singh,D,128
Its You,Jordan Davis,G,100
High Infidelity,Elevation Worship,A#,88
Soul To Squeeze,Jonsal Barrientes,F,88
Whats Up,MAX,G,161
Ophelia,keshi,Fm,110
Chop Suey,Taylor Swift,Gm,127
You Were Meant For Me,Red Hot Chili Peppers,D#,123
Bang Bang My Baby Shot Me Down,4 Non Blondes,Em,158
Who Am I,The Lumineers,G#,151
One Day,System Of A Down,B,113
Buddy Holly,Jewel,Fm,140
You Say,Nancy Sinatra,C#,129
Watch,Casting Crowns,G#,80
On Melancholy Hill,Matisyahu,D,120
Let It Be,Weezer,C,137
When Im Sixty Four,Lauren Daigle,C,120
Im Only Sleeping,Billie Eilish,B,103
Lonely Boy,Gorillaz,C,75
Shelter From The Storm,The Beatles,F,90
Stayin Alive,The Beatles,Fm,108
The Only Living Boy In New York,The Beatles,B,77
Carolina In My Mind,Bob Dylan,E,75
Piano Man,Bee Gees,A#m,104
Ode To My Family,The Cranberries,G,94
Love The Way You Lie,Eminem,A#,87
Feel,Rihanna,F,132
Helplessly Hoping,Robbie Williams,E,150
Tulkoon Joulu,"Crosby, Stills & Nash",D#,101
Its My Life,Misc Christmas,G#m,126
Deck The Halls,Bon Jovi,G,120
Its Beginning To Look A Lot Like Christmas,Misc Christmas,G#,120
Christmas Song,Meredith Willson,F,117
High School Musical - Breaking Free,Nat King Cole,Cm,108
Simply The Best,Misc Soundtrack,B,140
Adventure Time - Come Along With Me,Noah Reid,Am,120
Pool House,Misc Cartoons,B,120
Aladdin - Speechless,Ashley Eriksson,F#m,125
Lose You To Love Me,The Backseat Lovers,C#,162
Moon Song,Misc Soundtrack,C#,155
Ivy,Naomi Scott,D,172
Hamilton - Youll Be Back,Selena Gomez,C,122
Hamilton - Burn,Phoebe Bridgers,D,100
Against The Wind,Taylor Swift,G,110
Sex Sells,Misc Musicals,C,146
Tek It,Jonathan Groff,F#m,118
Change,Misc Musicals,C,80
All My Love,Phillipa Soo,A#,150
October Passed Me By,Bob Seger & The Silver Bullet Band,A,109
Thinking Out Loud,Lovejoy,A#m,133
Heal,Cafuné,A#,160
Like Real People Do,Big Thief,C#,80
What A Friend We Have In Jesus,girl in red,D#,91
Human,Ed Sheeran,D#m,75
Spongebob Squarepants - Ripped Pants,Tom Odell,C,123
I Just Died In Your Arms,Hozier,Bm,125
Disenchanted,Secondhand Serenade,Cm,100
We Are Never Ever Getting Back Together,Misc Praise Songs,G,86
Que Sera Sera,Christina Perri,A#,139
Blessed Be Your Name,Misc Cartoons,B,116
Paradise City,Cutting Crew,C,145
No Buses,My Chemical Romance,F,105
Train Wreck,Taylor Swift,F#m,77
Do You Want To Know A Secret,Frank De Vol,E,124
Day Tripper,Matt Redman,A,141
Cecilia,Guns N' Roses,A,149
Torn,Arctic Monkeys,G,100
Hey There Delilah,James Arthur,D,104
Nothing Else Matters,The Beatles,Em,142
You Cant Always Get What You Want,The Beatles,C,86
Christmas Time Is Here,The Beatles,Am,75
I Took A Pill In Ibiza,Simon & Garfunkel,A#,74
After The Gold Rush,Neil Young,C,90
Dreams,Fleetwood Mac,C,120
Waterloo Sunset,The Kinks,C#m,108
West Coast,Lana Del Rey,F#m,123
Lay All Your Love On Me,ABBA,C,133
Lovely Day,Bill Withers,A,98
Fields Of Gold,Eva Cassidy,A,80
Easy,Commodores,A#m,132
Never Tear Us Apart,INXS,C,97
As Long As You Love Me,Backstreet Boys,C,69
The Joker,Steve Miller Band,F,83
Daydream Believer,The Monkees,G,126
Man I Feel Like A Woman,Shania Twain,A#,126
Black Magic Woman,Santana,Dm,124
The Moon Song,Karen O,C,162
Losing Interest,Shiloh Dynasty,A#m,115
Mighty To Save,Hillsong Worship,A,146
Call Out My Name,The Weeknd,C#,134
Broken,Isak Danielson,Fm,142
Nachaheko Hoina Timilai,The Edge Band,D#,145
Without Me,Halsey,F#,134
Sunflower,Post Malone,D,90
Dancing With Your Ghost,Swae Lee,B,75
Cry,Sasha Sloan,A#,120
Revival,Cigarettes After Sex,F,130
Middle Of The Night,Zach Bryan,Em,175
You Broke Me First,Elley Duhé,D#m,147
Dear Evan Hansen - You Will Be Found,Tate McRae,A,87
Sweater Weather,Misc Musicals,A#,124
Take Me To Church,The Neighbourhood,Gm,78
Moana - How Far Ill Go,Hozier,C,63
Love Will Keep Us Alive,Misc Cartoons,A,99
Bless The Broken Road,Eagles,C,132
