name,author_name,scale_x,bpm_x,scale_y,capo,chords,bpm_y,new_scale,new_bpm,Freq_map
Take Me Home Country Roads,John Denver,C,91,A,2nd fret,"['G', 'Em', 'D', 'C', 'F', 'D7']",164 bpm,C,164 bpm,"{'A': 25, 'F#m': 10, 'E': 17, 'D': 14, 'G': 1, 'E7': 1}"
Let Her Go,Passenger,G,75,Em,7th fret,"['G', 'F', 'Am', 'C', 'Em']",75 bpm,G,75 bpm,"{'G': 37, 'F': 34, 'Am': 25, 'C': 18, 'Em': 6}"
Somewhere Only We Know,Keane,A,172,C,no capo,"['C', 'Em', 'Dm', 'G', 'F', 'Am']",86 bpm,A,86 bpm,"{'D#': 15, 'Gm': 17, 'Fm': 21, 'A#': 20, 'G#': 16, 'Cm': 6}"
Until I Found You,Stephen Sanchez,A#,101,A#,3rd fret,"['G', 'Bm', 'C', 'D', 'G7', 'Cm']",67 bpm,A#,67 bpm,"{'C': 18, 'Em': 13, 'F': 19, 'G': 11, 'C7': 3, 'Fm': 4}"
A Star Is Born - Shallow,Misc Soundtrack,G,100,G,no capo,"['Em', 'D', 'G', 'C', 'Am', 'Bm', 'A']",96 bpm,G,96 bpm,"{'Am': 23, 'G': 39, 'C': 29, 'F': 9, 'Dm': 8, 'Em': 2, 'D': 2}"
Tv,Lady Gaga,Gm,116,G,no capo,"['G', 'D/F#', 'Em', 'C', 'D']",70 bpm,Gm,70 bpm,"{'A': 14, 'E/G#': 9, 'F#m': 39, 'D': 30, 'E': 35}"
Anti-Hero,Frank Sinatra,F,110,E,no capo,"['A', 'E', 'B', 'C#m']",97 bpm,F,97 bpm,"{'E': 39, 'B': 39, 'F#': 39, 'G#m': 39}"
Zombie,Gnarls Barkley,Em,92,Em,no capo,"['Em', 'C', 'G', 'D/F#']",82 bpm,Em,82 bpm,"{'Am': 22, 'F': 21, 'C': 16, 'G/B': 16}"
Iris,Oasis,Em,139,Bm,no capo,"['A', 'Bm', 'Bm/A', 'G', 'F#m', 'Bsus2', 'D', 'Em']",154 bpm,Em,154 bpm,"{'D': 26, 'Em': 49, 'Em/D': 13, 'C': 62, 'Bm': 4, 'Esus2': 5, 'G': 10, 'Am': 6}"
Glimpse Of Us,Goo Goo Dolls,E,140,Fm,1st fret,"['Am', 'D7', 'G', 'Em', 'D/F#', 'Em7', 'E7']",57 bpm,E,57 bpm,"{'F#m': 24, 'B7': 24, 'E': 19, 'C#m': 16, 'B/D#': 11, 'C#m7': 1, 'C#7': 1}"
Thinking Out Loud,Grover Washington Jr.,A#m,96,D,2nd fret,"['C', 'C/E', 'F', 'G', 'Dm', 'Am']",75 bpm,A#m,75 bpm,"{'C#': 39, 'C#/F': 37, 'F#': 37, 'G#': 50, 'D#m': 13, 'A#m': 7}"
Jolene,Bill Withers,B,110,C#m,4th fret,"['Am', 'C', 'G', 'Em']",110 bpm,B,110 bpm,"{'Dm': 37, 'F': 12, 'C': 24, 'Am': 9}"
Jingle Bells,Ed Sheeran,C,114,G,no capo,"['G', 'C', 'Am', 'D7', 'D', 'A7']",104 bpm,C,104 bpm,"{'G': 43, 'C': 24, 'Am': 8, 'D7': 20, 'D': 4, 'A7': 4}"
Hurt,The Neighbourhood,Dm,83,Am,no capo,"['Am', 'C', 'D', 'G', 'F']",90 bpm,Dm,90 bpm,"{'Em': 31, 'G': 24, 'A': 20, 'D': 16, 'C': 10}"
Photograph,Judy Garland,Em,85,E,2nd fret,"['D', 'Bm', 'A', 'G']",108 bpm,Em,108 bpm,"{'A': 17, 'F#m': 16, 'E': 16, 'D': 17}"
Wicked Game,Chris Isaak,A,112,Bm,no capo,"['Bm', 'A', 'E']",112 bpm,A,112 bpm,"{'Dm': 20, 'C': 20, 'G': 20}"
Silent Night,Misc Christmas,E,126,G,no capo,"['G', 'D', 'D7', 'C', 'Em']",84 bpm,E,84 bpm,"{'D#': 27, 'A#': 12, 'A#7': 7, 'G#': 7, 'Cm': 4}"
Love Yourself,Justin Bieber,E,100,E,4th fret,"['C', 'G/B', 'Am', 'Dm', 'F', 'G']",100 bpm,E,100 bpm,"{'C': 56, 'G/B': 20, 'Am': 28, 'Dm': 10, 'F': 18, 'G': 24}"
As It Was,Harry Styles,F#m,174,A,2nd fret,"['Am', 'D', 'G', 'C']",174 bpm,F#m,174 bpm,"{'Dm': 14, 'G': 14, 'C': 14, 'F': 12}"
Sweet Child O Mine,Guns N' Roses,F#,125,D,no capo,"['D', 'C', 'G', 'A', 'Em', 'B7', 'Am', 'E']",125 bpm,F#,125 bpm,"{'G#': 51, 'F#': 39, 'C#': 38, 'D#': 20, 'A#m': 17, 'F7': 4, 'D#m': 5, 'A#': 1}"
Heather,Conan Gray,F,102,F,5th fret,"['C', 'Em', 'Am', 'Fmaj7', 'Fm']",92 bpm,F,92 bpm,"{'C': 9, 'Em': 9, 'Am': 9, 'Fmaj7': 9, 'Fm': 9}"
Wouldve Couldve Shouldve,Taylor Swift,G,158,C,no capo,"['Am', 'Em', 'G', 'D', 'C']",79 bpm,G,79 bpm,"{'Dm': 39, 'Am': 13, 'C': 39, 'G': 41, 'F': 28}"
Stand By Me,Ben E. King,D,119,A,2nd fret,"['G', 'Em', 'C', 'D']",120 bpm,D,120 bpm,"{'G': 36, 'Em': 18, 'C': 9, 'D': 9}"
A Star Is Born - Always Remember Us This Way,Misc Soundtrack,C,130,C,no capo,"['Am', 'F', 'C', 'G', 'A#']",65 bpm,C,65 bpm,"{'Am': 12, 'F': 23, 'C': 15, 'G': 20, 'A#': 4}"
Golden Hour,Misc Christmas,F,121,E,no capo,"['F#m7', 'E7', 'A7', 'G#m7', 'Em']",NF,F,121,"{'C#m7': 5, 'B7': 14, 'E7': 12, 'D#m7': 2, 'Bm': 2}"
Aint No Sunshine,JVKE,Em,144,Am,no capo,"['Am', 'Em', 'G', 'Dm']",77 bpm,Em,77 bpm,"{'Dm': 31, 'Am': 16, 'C': 13, 'Gm': 3}"
No Surprises,Ed Sheeran,F,76,F,3rd fret,"['D', 'Gm', 'Gmaj7/B', 'Em', 'A', 'Asus4']",75 bpm,F,75 bpm,"{'C': 14, 'Fm': 11, 'Fmaj7/A': 5, 'Dm': 12, 'G': 13, 'Gsus4': 11}"
All I Want,Coldplay,G,129,C,no capo,"['C', 'F', 'G/B', 'Am', 'G', 'Dm']",125 bpm,G,125 bpm,"{'F': 36, 'A#': 23, 'C/E': 6, 'Dm': 14, 'C': 13, 'Gm': 2}"
Happy Xmas War Is Over,Cage the Elephant,D#,172,G,no capo,"['A', 'Bm', 'E', 'D', 'Em', 'G']",147 bpm,D#,147 bpm,"{'F#': 17, 'G#m': 4, 'C#': 7, 'B': 9, 'C#m': 6, 'E': 6}"
Im Not The Only One,John Lennon,C,76,F,no capo,"['F', 'A', 'Dm', 'A#', 'C', 'A#/C']",84 bpm,C,84 bpm,"{'F': 47, 'A': 28, 'Dm': 28, 'A#': 32, 'C': 14, 'A#/C': 1}"
Hey There Delilah,Sam Smith,D,104,D,no capo,"['D', 'F#m', 'Bm', 'G', 'A']",104 bpm,D,104 bpm,"{'C': 33, 'Em': 12, 'Am': 31, 'F': 10, 'G': 20}"
Back To Black,New West,Em,94,Dm,no capo,"['Dm', 'Gm', 'A#', 'A', 'A#maj7', 'F', 'A7']",123 bpm,Em,123 bpm,"{'Gm': 16, 'Cm': 12, 'D#': 12, 'D': 14, 'D#maj7': 2, 'A#': 2, 'D7': 1}"
Wagon Wheel,Darius Rucker,A,148,A,2nd fret,"['G', 'D', 'Em', 'C']",148 bpm,A,148 bpm,"{'C': 45, 'G': 45, 'Am': 23, 'F': 45}"
