Song_Name,Artist_Name,Song_link
You Broke Me First,Elley Duhé,https://tabs.ultimate-guitar.com/tab/tate-mcrae/you-broke-me-first-chords-3141224
Dear Evan Hansen - You Will Be Found,Tate McRae,https://tabs.ultimate-guitar.com/tab/misc-musicals/dear-evan-hansen-you-will-be-found-chords-1944941
Sweater Weather,Misc Musicals,https://tabs.ultimate-guitar.com/tab/the-neighbourhood/sweater-weather-chords-1396767
Take Me To Church (ver 2),The Neighbourhood,https://tabs.ultimate-guitar.com/tab/hozier/take-me-to-church-chords-1513312
Moana - How Far Ill Go,Hozier,https://tabs.ultimate-guitar.com/tab/misc-cartoons/moana-how-far-ill-go-chords-1899528
Love Will Keep Us Alive,Misc Cartoons,https://tabs.ultimate-guitar.com/tab/eagles/love-will-keep-us-alive-chords-14318
Bless The Broken Road,Eagles,https://tabs.ultimate-guitar.com/tab/rascal-flatts/bless-the-broken-road-chords-143089
The Wild Mountain Thyme,Rascal Flatts,https://tabs.ultimate-guitar.com/tab/the-corries/the-wild-mountain-thyme-chords-1161659
Needle In The Hay,The Corries,https://tabs.ultimate-guitar.com/tab/elliott-smith/needle-in-the-hay-chords-84527
Dirty Paws,Elliott Smith,https://tabs.ultimate-guitar.com/tab/of-monsters-and-men/dirty-paws-chords-1104999
Stuck In The Middle With You,Of Monsters and Men,https://tabs.ultimate-guitar.com/tab/stealers-wheel/stuck-in-the-middle-with-you-chords-85774
Toxicity (ver 3),Stealers Wheel,https://tabs.ultimate-guitar.com/tab/system-of-a-down/toxicity-chords-1008226
Harana,System Of A Down,https://tabs.ultimate-guitar.com/tab/parokya-ni-edgar/harana-chords-79821
This Side Of Paradise,Parokya ni Edgar,https://tabs.ultimate-guitar.com/tab/coyote-theory/this-side-of-paradise-chords-2020925
The Old Rugged Cross,Coyote Theory,https://tabs.ultimate-guitar.com/tab/alan-jackson/the-old-rugged-cross-chords-1741853
Because The Night,Alan Jackson,https://tabs.ultimate-guitar.com/tab/patti-smith/because-the-night-chords-84617
Adams Song,Patti Smith,https://tabs.ultimate-guitar.com/tab/blink-182/adams-song-chords-755261
Drain You (ver 3),Blink-182,https://tabs.ultimate-guitar.com/tab/nirvana/drain-you-chords-828622
When You Were Young,Nirvana,https://tabs.ultimate-guitar.com/tab/the-killers/when-you-were-young-chords-425705
Famous Blue Raincoat,The Killers,https://tabs.ultimate-guitar.com/tab/leonard-cohen/famous-blue-raincoat-chords-64974
Paranoid Android (ver 2),Leonard Cohen,https://tabs.ultimate-guitar.com/tab/radiohead/paranoid-android-chords-940079
Youre Beautiful (ver 2),Radiohead,https://tabs.ultimate-guitar.com/tab/james-blunt/youre-beautiful-chords-180394
I Walk The Line,James Blunt,https://tabs.ultimate-guitar.com/tab/johnny-cash/i-walk-the-line-chords-15835
Woman (ver 2),Johnny Cash,https://tabs.ultimate-guitar.com/tab/john-lennon/woman-chords-558564
Crazy Train (ver 3),Ozzy Osbourne,https://tabs.ultimate-guitar.com/tab/ozzy-osbourne/crazy-train-chords-1243715
Twelve Days Of Christmas,John Denver,https://tabs.ultimate-guitar.com/tab/john-denver/twelve-days-of-christmas-chords-1790369
Take Me Home Country Roads (ver 2),John Denver,https://tabs.ultimate-guitar.com/tab/john-denver/take-me-home-country-roads-chords-145143
True Colors (ver 2),Cyndi Lauper,https://tabs.ultimate-guitar.com/tab/cyndi-lauper/true-colors-chords-582222
I Saw The Light,Hank Williams,https://tabs.ultimate-guitar.com/tab/hank-williams/i-saw-the-light-chords-873754
Althea,Grateful Dead,https://tabs.ultimate-guitar.com/tab/grateful-dead/althea-chords-12298
Enjoy The Silence (ver 4),Depeche Mode,https://tabs.ultimate-guitar.com/tab/depeche-mode/enjoy-the-silence-chords-1216617
I Will Always Love You (ver 2),Dolly Parton,https://tabs.ultimate-guitar.com/tab/dolly-parton/i-will-always-love-you-chords-1734502
I Started A Joke,Bee Gees,https://tabs.ultimate-guitar.com/tab/bee-gees/i-started-a-joke-chords-16882
It Must Have Been Love (ver 2),Roxette,https://tabs.ultimate-guitar.com/tab/roxette/it-must-have-been-love-chords-260123
Cats In The Cradle,Harry Chapin,https://tabs.ultimate-guitar.com/tab/harry-chapin/cats-in-the-cradle-chords-407661
Born To Be Wild,Steppenwolf,https://tabs.ultimate-guitar.com/tab/steppenwolf/born-to-be-wild-chords-32120
How Deep The Fathers Love For Us (ver 2),Stuart Townend,https://tabs.ultimate-guitar.com/tab/stuart-townend/how-deep-the-fathers-love-for-us-chords-1061504
All Apologies Acoustic,Nirvana,https://tabs.ultimate-guitar.com/tab/nirvana/all-apologies-chords-77616
And I Love Her Acoustic,Kurt Cobain,https://tabs.ultimate-guitar.com/tab/kurt-cobain/and-i-love-her-chords-1733238
Billionaire (ver 3),Travie McCoy,https://tabs.ultimate-guitar.com/tab/travie-mccoy/billionaire-chords-960137
Lord I Need You (ver 6),Bruno Mars,https://tabs.ultimate-guitar.com/tab/matt-maher/lord-i-need-you-chords-1497005
What About Us,Matt Maher,https://tabs.ultimate-guitar.com/tab/pnk/what-about-us-chords-2105955
Once Upon A December (ver 3),P!nk,https://tabs.ultimate-guitar.com/tab/deana-carter/once-upon-a-december-chords-1191182
You And I,Deana Carter,https://tabs.ultimate-guitar.com/tab/one-direction/you-and-i-chords-1433419
Here Comes The Sun,One Direction,https://tabs.ultimate-guitar.com/tab/the-beatles/here-comes-the-sun-chords-70711
Coco - Remember Me Lullaby (ver 5),The Beatles,https://tabs.ultimate-guitar.com/tab/misc-cartoons/coco-remember-me-lullaby-chords-2260393
Lost Without You Live,Misc Cartoons,https://tabs.ultimate-guitar.com/tab/freya-ridings/lost-without-you-chords-2319697
Maybe Im Amazed Live,Robert Lopez,https://tabs.ultimate-guitar.com/tab/wings/maybe-im-amazed-chords-1731073
Kommt Wir Wolln Laterne Laufen,Kristen Anderson-Lopez,https://tabs.ultimate-guitar.com/tab/rolf-zuckowski/kommt-wir-wolln-laterne-laufen-chords-2883875
Losing Face (ver 2),Freya Ridings,https://tabs.ultimate-guitar.com/tab/wilbur-soot/losing-face-chords-3300278
Maya,Wings,https://tabs.ultimate-guitar.com/tab/ashutosh-kc/maya-chords-3714014
Flowers,Rolf Zuckowski,https://tabs.ultimate-guitar.com/tab/lauren-spencer-smith/flowers-chords-4152190
Decrescendo,Wilbur Soot,https://tabs.ultimate-guitar.com/tab/lomepal/decrescendo-chords-4353134
Stop This Train (ver 2),Ashutosh KC,https://tabs.ultimate-guitar.com/tab/john-mayer/stop-this-train-chords-1399499
Glycerine (ver 2),Lauren Spencer-Smith,https://tabs.ultimate-guitar.com/tab/bush/glycerine-chords-61459
One Number Away,Lomepal,https://tabs.ultimate-guitar.com/tab/luke-combs/one-number-away-chords-1920751
Hurricane (ver 2),John Mayer,https://tabs.ultimate-guitar.com/tab/the-band-of-heathens/hurricane-chords-1764778
The Less I Know The Better (ver 2),Bush,https://tabs.ultimate-guitar.com/tab/tame-impala/the-less-i-know-the-better-chords-1752782
Two-Headed Boy,Luke Combs,https://tabs.ultimate-guitar.com/tab/neutral-milk-hotel/two-headed-boy-chords-212825
Great Is Thy Faithfulness,The Band of Heathens,https://tabs.ultimate-guitar.com/tab/misc-praise-songs/great-is-thy-faithfulness-chords-1013215
The Devil Wears A Suit And Tie (ver 2),Tame Impala,https://tabs.ultimate-guitar.com/tab/colter-wall/the-devil-wears-a-suit-and-tie-chords-1979887
December,Neutral Milk Hotel,https://tabs.ultimate-guitar.com/tab/neck-deep/december-chords-1759066
Heal The World,Misc Praise Songs,https://tabs.ultimate-guitar.com/tab/michael-jackson/heal-the-world-chords-71843
In Hell Ill Be In Good Company (ver 2),Colter Wall,https://tabs.ultimate-guitar.com/tab/the-dead-south/in-hell-ill-be-in-good-company-chords-1952761
Away In A Manger (ver 4),Neck Deep,https://tabs.ultimate-guitar.com/tab/misc-christmas/away-in-a-manger-chords-1693780
The Hunger Games Mockingjay - The Hanging Tree (ver 3),Michael Jackson,https://tabs.ultimate-guitar.com/tab/misc-soundtrack/the-hunger-games-mockingjay-the-hanging-tree-chords-1682621
Volare,The Dead South,https://tabs.ultimate-guitar.com/tab/gipsy-kings/volare-chords-632498
Walking In The Air,Misc Christmas,https://tabs.ultimate-guitar.com/tab/howard-blake/walking-in-the-air-chords-499380
Rainbow,Misc Soundtrack,https://tabs.ultimate-guitar.com/tab/kacey-musgraves/rainbow-chords-1425791
The Pretender,Jennifer Lawrence,https://tabs.ultimate-guitar.com/tab/foo-fighters/the-pretender-chords-604229
Sunday Bloody Sunday,Gipsy Kings,https://tabs.ultimate-guitar.com/tab/u2/sunday-bloody-sunday-chords-443752
Read My Mind (ver 3),Howard Blake,https://tabs.ultimate-guitar.com/tab/the-killers/read-my-mind-chords-805530
Christmas Baby Please Come Home,Kacey Musgraves,https://tabs.ultimate-guitar.com/tab/1909275
Fields Of Gold,Foo Fighters,https://tabs.ultimate-guitar.com/tab/sting/fields-of-gold-chords-131820
Easy,Faith No More,https://tabs.ultimate-guitar.com/tab/faith-no-more/easy-chords-13598
Piledriver Waltz (ver 2),Alex Turner,https://tabs.ultimate-guitar.com/tab/alex-turner/piledriver-waltz-chords-1037435
Till There Was You,The Beatles,https://tabs.ultimate-guitar.com/tab/the-beatles/till-there-was-you-chords-17443
All The Pretty Girls,Kaleo,https://tabs.ultimate-guitar.com/tab/kaleo/all-the-pretty-girls-chords-1513523
Born In The Usa,Bruce Springsteen,https://tabs.ultimate-guitar.com/tab/bruce-springsteen/born-in-the-usa-chords-148158
Kathys Song,Simon & Garfunkel,https://tabs.ultimate-guitar.com/tab/simon-garfunkel/kathys-song-chords-1091921
Titanium,David Guetta,https://tabs.ultimate-guitar.com/tab/david-guetta/titanium-chords-1085977
